Item UUID,Product Name,Quantity,Total Value,Department,Category,UPC,Store Code (SKU),Price,Discountable,Taxable,Tracking Inventory,Cost,Assigned Cost,Quantity,Reorder Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender,Tax Group or Rate,Total Value
6132361F-4D1A-459C-BAE7-1404AC44A45A,Ateco Canvas Decorating Bag 24”,1,$6.70 ,Decorating Tools,Pastry bags,14963032244,4.00E+11,$13.99 ,TRUE,TRUE,TRUE,$6.70 ,,1,0,0,11/30/2022 10:37,DecoPac,FALSE,,,$6.70 
8B944EEF-35CE-4BD4-9666-AC0B9658E5DF,"Ateco Disposable Piping Bags, 10ct.",10,$33.80 ,Decorating Tools,Pastry bags,14963046852,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$3.38 ,,10,1,0,8/27/2022 10:52,DecoPac,FALSE,,,$33.80 
4102BBFB-24B8-4A33-8B1A-B6E8BA1D2ECE,"Ateco Parchment Paper Triangles 15"" 100ct.",1,$7.44 ,Decorating Tools,Pastry bags,14963004500,4.00E+11,$14.99 ,TRUE,TRUE,TRUE,$7.44 ,,1,1,2,12/15/2022 15:27,CK Products,FALSE,,,$7.44 
BBBE18B4-B731-45E6-87F2-8946702B0299,"Ateco Plastic Coated Decorating Bag 10""",0,$0.00 ,Decorating Tools,Pastry bags,14963031100,4.00E+11,$4.79 ,TRUE,TRUE,TRUE,$1.71 ,,0,1,2,12/21/2022 15:25,CK Products,FALSE,,,$0.00 
88DF45AC-ACD3-41DA-99EC-42DEA5C2B9CF,"Ateco Plastic Coated Decorating Bag 12""",1,$2.67 ,Decorating Tools,Pastry bags,14963031124,4.00E+11,$5.49 ,TRUE,TRUE,TRUE,$2.67 ,,1,1,2,12/21/2022 15:25,DecoPac,FALSE,,,$2.67 
32C3B6BA-30B4-4544-A11D-E55AA2ABE501,"Ateco Plastic Coated Decorating Bag 14""",4,$10.40 ,Decorating Tools,Pastry bags,14963031148,4.00E+11,$5.99 ,TRUE,TRUE,TRUE,$2.60 ,,5,1,2,12/8/2022 14:11,Webstaurant store,FALSE,,,$13.00 
21688C35-62E7-4A58-935F-5587AAC1EB6A,"Ateco Plastic Coated Decorating Bag 16""",2,$5.26 ,Decorating Tools,Pastry bags,14963031162,4.00E+11,$6.99 ,TRUE,TRUE,TRUE,$2.63 ,,0,1,2,12/13/2022 15:54,Amazon,FALSE,,,$0.00 
FCFFCE95-482A-4098-AF3C-F69417C23D3A,"Ateco Plastic Coated Decorating Bag 18""",0,$0.00 ,Decorating Tools,Pastry bags,14963031186,4.00E+11,$8.99 ,TRUE,TRUE,TRUE,$3.24 ,,0,1,2,12/20/2022 14:56,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
603E31E4-C087-4F21-9798-06F14C8AD6B7,"Ateco Plastic Coated Decorating Bag 21""",8,$29.60 ,Decorating Tools,Pastry bags,14963031216,4.00E+11,$10.99 ,TRUE,TRUE,TRUE,$3.70 ,,8,1,2,12/17/2022 12:07,Wholesale Sugar Flowers dot com,FALSE,,,$29.60 
934A7598-6C60-45C4-BFAC-47A1938D048A,"Ateco Plastic Coated Decorating Bag 24""",0,$0.00 ,Decorating Tools,Pastry bags,14963031247,4.00E+11,$11.99 ,TRUE,TRUE,TRUE,$5.09 ,,0,1,2,12/10/2022 11:42,Wholesale Sugar Flowers dot com,FALSE,,,$0.00 
